ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
1,54,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
2,51,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
3,45,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
4,50,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
5,21,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
6,36,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
7,45,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
8,68,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
9,24,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
10,22,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
11,34,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
12,35,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
13,55,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
14,51,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
15,43,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
16,57,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
17,44,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
18,73,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
19,38,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
20,30,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
21,38,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
22,50,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
23,37,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
24,25,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
25,72,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
26,33,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
27,54,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
28,31,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
29,31,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
30,75,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
31,22,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
32,39,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
33,35,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
34,40,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
35,31,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
36,30,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
37,53,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
38,37,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
39,28,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
40,55,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
41,27,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
42,72,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
43,34,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
44,59,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
45,48,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
46,34,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
47,48,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
48,24,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
49,20,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
