profile_gender,profile_age,work_country,work_province,profile_studies_level,profile_studies_level_state,profile_career,profile_university,work_role,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,profile_sexual_orientation,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_extra_benefits,company_best_companies_city
Mujer,26,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Consultant,53000,43000,,1,1,No,No recibo bono,No,0,0,Homosexual,,501-1000,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Viáticos",
Hombre,29,Argentina,Corrientes,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,79000,63000,,2,2,Menos de un sueldo,Performance de la compañía,Uno,10,1,Heterosexual,No,201-500,Otras industrias,"Horarios flexibles, Stock options / RSUs, Viáticos",
Mujer,22,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,Infosec,160000,127000,,3,3,Un sueldo,Performance individual,No,0,0,Bisexual o queer,No,2001-5000,Otras industrias,"Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Hombre,39,Argentina,Corrientes,Posgrado,Incompleto,Licenciatura en Sistemas,UNNE Universidad Nacional del Nordeste,SysAdmin / DevOps / SRE,130000,102000,,3,1,No,No recibo bono,No,0,0,Heterosexual,,501-1000,Otras industrias,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,32,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,Developer,140000,106000,,1,1,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Incompleto,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Developer,54000,44000,,2,2,No,No recibo bono,Uno,15,5,Heterosexual,No,10001+,Producto basado en Software,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",
Hombre,33,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Developer,75000,62400,,3,3,No,No recibo bono,Dos,8,4,Heterosexual,,51-100,Producto basado en Software,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Mercado Libre
Hombre,23,Argentina,Provincia de Buenos Aires,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Developer,45000,37500,,2,2,No,No recibo bono,No,0,0,Heterosexual,,Nov-50,Producto basado en Software,Ninguna de las anteriores,"Globant, Accenture, Making Sense, Globalogic"
Hombre,40,Argentina,Entre Ríos,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,105000,75000,,2,2,No,No recibo bono,No,0,0,Heterosexual,,51-100,Otras industrias,Horarios flexibles,"Mercado Libre, Hexacta, Argeniss"
Otros,35,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,SysAdmin / DevOps / SRE,47000,39000,,1,1,No,No recibo bono,No,0,0,Bisexual o queer,No,10001+,Otras industrias,"Capacitaciones y/o cursos, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
